Compnent_1,Compnent_2,Owner,Language_Used,Predicted_Clusters,Commits,Stargazers,Forks_Count,Is_Fork
11.430879,22.691963,1476Ram,Jupyter Notebook,2,4,0,0,0
17.565336,21.950912,1476Ram,Jupyter Notebook,2,2,0,0,0
11.005224,22.164154,1476Ram,Jupyter Notebook,2,2,0,0,0
-20.67414,24.448362,1476Ram,Jupyter Notebook,2,8,0,0,0
14.803958,-7.341488,1476Ram,Jupyter Notebook,2,2,0,0,0
-22.533594,-2.8241155,1476Ram,Jupyter Notebook,2,3,0,0,0
9.468552,-12.623526,1476Ram,Jupyter Notebook,2,2,0,0,0
10.318699,-9.610595,1476Ram,Jupyter Notebook,2,1,0,0,0
-20.67414,24.448362,aadithyajp,CSS,0,4,0,0,0
16.760822,22.37725,aadithyajp,Jupyter Notebook,0,3,0,0,0
-20.67414,24.448362,aadithyajp,Jupyter Notebook,0,5,0,0,0
21.680046,22.29186,aadithyajp,Jupyter Notebook,0,3,0,0,0
18.747402,22.211163,aadithyajp,Jupyter Notebook,0,2,0,0,0
12.099604,22.540173,aadithyajp,Python,0,5,0,0,0
19.21711,21.433336,aadithyajp,HTML,0,9,0,0,0
18.750856,22.020939,aadithyajp,Jupyter Notebook,0,2,0,0,0
21.365574,22.147566,aadithyajp,Jupyter Notebook,0,36,2,0,0
21.828808,-19.014006,aadithyajp,Python,0,21,0,0,0
-22.706526,-12.274019,Aathityan-K,Python,2,3,0,0,0
-22.640251,-11.696228,Aathityan-K,Python,2,5,0,0,0
-22.51718,-8.630441,Aathityan-K,Jupyter Notebook,2,3,0,0,0
-22.420017,-4.162472,Aathityan-K,Jupyter Notebook,2,2,0,0,0
-22.7314,-11.815593,Aathityan-K,Jupyter Notebook,2,3,0,0,0
-20.67414,24.448362,Aathityan-K,Jupyter Notebook,2,2,0,0,0
-20.67414,24.448362,Aathityan-K,Jupyter Notebook,2,6,0,1,0
-20.67414,24.448362,Aathityan-K,Jupyter Notebook,2,5,0,0,0
-20.67414,24.448362,Aathityan-K,Jupyter Notebook,2,1,0,0,0
13.487566,22.701767,Aathityan-K,Jupyter Notebook,2,1,0,0,0
-20.67414,24.448362,Aathityan-K,Jupyter Notebook,2,3,0,0,0
10.102306,-9.440823,Aathityan-K,Python,2,1,0,0,0
-22.62043,-5.575454,Aathityan-K,Jupyter Notebook,2,8,0,0,0
-20.67414,24.448362,Aathityan-K,Jupyter Notebook,2,3,0,0,0
18.032858,-11.9932785,AbdullahBakir97,HTML,2,28,4,0,0
-20.67414,24.448362,AbdullahBakir97,Python,2,3,1,0,0
-23.165236,-15.545468,AbdullahBakir97,Python,2,16,4,0,1
-20.67414,24.448362,AbdullahBakir97,HTML,2,3,2,0,0
12.313098,22.43657,AbdullahBakir97,HTML,2,3,2,0,0
-18.459728,24.687134,AbdullahBakir97,Python,2,1,1,0,0
